ROWID,fir_number,brief_facts,crime_category,date_reported,district,police_station,status,latitude,longitude,gravity,crime_major_head,crime_minor_head,court_name,incident_from_date,incident_to_date,info_received_date
207,CBBN-0012/2024,"On credible information, police intercepted a black Apache motorcycle near Cubbon Park on 07/10/2024 around 11:15 AM and seized LSD strips and MDMA crystals worth Rs. 569,000 from the rider. The accused was supplying synthetic drugs to students around Koramangala. Forward and backward linkages are being investigated.",FIR,2024-10-08,Bengaluru City,Cubbon Park PS,Closed,12.994771,77.554116,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Bengaluru City District Court,2024-10-07 11:21:00,2024-10-07 13:58:00,2024-10-08 11:32:14
208,MSKM-0002/2024,"The complainant reported that on 07/10/2024 she received an SMS about a pending electricity bill with a link. After entering card details and the OTP on the fake page, Rs. 59,000 was siphoned from her account. The money trail leads to a wallet registered in another state.",FIR,2024-10-10,Kalaburagi,MSK Mill PS,Closed,17.317139,76.872221,Non-Heinous,Cyber Crimes,OTP Fraud,Kalaburagi District Court,2024-10-07 18:56:00,2024-10-07 19:18:00,2024-10-09 18:34:15
209,OLDH-0005/2024,"On 08/10/2024 around 10:15 AM, the complainant's mobile phone worth Rs. 54,000 was stolen from his pocket while boarding a crowded bus near the metro station in Old Hubballi. The IMEI number has been noted for tracking.",FIR,2024-10-09,Hubballi-Dharwad,Old Hubballi PS,Charge Sheeted,15.40871,75.110717,Non-Heinous,Property Crimes,Mobile Phone Theft,Hubballi-Dharwad District Court,2024-10-08 10:56:00,2024-10-08 11:36:00,2024-10-09 12:38:00
210,JYNG-0018/2024,"On 08/10/2024 around 7:00 PM, the complainant was walking near the metro station in Jayanagar when two unidentified men on a black Apache motorcycle approached from behind and snatched her gold chain of 47 grams worth Rs. 254,000. The riders sped away towards Cubbon Park before anyone could note the registration number.",FIR,2024-10-09,Bengaluru City,Jayanagar PS,Charge Sheeted,12.961105,77.565214,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2024-10-08 19:19:00,2024-10-08 23:06:00,2024-10-09 01:33:41
211,KRMN-0014/2024,"The complainant, a resident of Koramangala, reported that while returning from the market around 6:00 PM on 08/10/2024, the pillion rider of a blue Activa scooter without number plates snatched her mangalsutra valued at Rs. 128,000. She sustained minor abrasions on the neck. CCTV footage of nearby shops is being collected.",FIR,2024-10-12,Bengaluru City,Koramangala PS,Charge Sheeted,12.92624,77.577006,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2024-10-08 18:17:00,2024-10-08 22:15:00,2024-10-10 06:25:37
212,WHTF-0012/2024,"On 08/10/2024 around 8:15 PM, an unknown silver Swift car moving at high speed knocked down a pedestrian crossing the road near the metro station in Whitefield and sped away without stopping. The injured was shifted to hospital by passers-by and is critical. CCTV cameras along the stretch are being examined.",FIR,2024-10-10,Bengaluru City,Whitefield PS,Charge Sheeted,13.014087,77.61718,Non-Heinous,Road Incidents,Hit and Run,Bengaluru City District Court,2024-10-08 20:50:00,2024-10-08 22:08:00,2024-10-10 02:13:19
213,AZDN-0002/2024,"The complainant reported that while shopping at the Azad Nagar market on 08/10/2024 around 1:45 PM, an unknown person snatched her mobile phone worth Rs. 35,000 and disappeared into the crowd towards KTJ Nagar.",FIR,2024-10-09,Davanagere,Azad Nagar PS,Closed,14.493992,75.939649,Non-Heinous,Property Crimes,Mobile Phone Theft,Davanagere District Court,2024-10-08 13:06:00,2024-10-08 14:03:00,2024-10-09 06:12:09
214,TRNG-0004/2024,"On 09/10/2024 around 3:00 PM, the complainant's son was forcibly taken into a white Innova car by three unknown persons near Toranagallu. A ransom call demanding Rs. 1,465,000 was received the same evening from an unregistered number. Technical teams are tracing the call.",FIR,2024-10-11,Ballari,Toranagallu PS,Charge Sheeted,15.101884,76.926723,Heinous,Crimes Against Body,Kidnapping,Ballari District Court,2024-10-09 15:13:00,2024-10-09 17:20:00,2024-10-11 12:20:30
215,KTJN-0002/2024,"The complainant reported that while shopping at the KTJ Nagar market on 09/10/2024 around 7:30 PM, an unknown person snatched her mobile phone worth Rs. 33,000 and disappeared into the crowd towards Azad Nagar.",FIR,2024-10-12,Davanagere,KTJ Nagar PS,Closed,14.456682,75.925163,Non-Heinous,Property Crimes,Mobile Phone Theft,Davanagere District Court,2024-10-09 19:13:00,2024-10-09 20:12:00,2024-10-11 09:51:23
216,DVRJ-0006/2024,"The complainant, a college student from Devaraja, reported on 09/10/2024 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 9:00 PM and continues to be active despite reporting.",FIR,2024-10-10,Mysuru,Devaraja PS,Charge Sheeted,12.332768,76.66544,Non-Heinous,Cyber Crimes,Social Media Harassment,Mysuru District Court,2024-10-09 21:10:00,2024-10-09 21:29:00,2024-10-10 10:34:04
217,DDDP-0004/2024,"The complainant reported that on 09/10/2024 around 11:00 AM his neighbour in Doddapete, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2024-10-09,Shivamogga,Doddapete PS,Charge Sheeted,13.939661,75.59265,Non-Heinous,Crimes Against Body,Assault,Shivamogga District Court,2024-10-09 11:03:00,2024-10-09 14:53:00,2024-10-09 16:37:47
218,OLDH-0006/2024,"On credible information, police intercepted a blue Activa scooter near Old Hubballi on 10/10/2024 around 11:15 AM and seized LSD strips and MDMA crystals worth Rs. 295,000 from the rider. The accused was supplying synthetic drugs to students around Vidyanagar. Forward and backward linkages are being investigated.",FIR,2024-10-10,Hubballi-Dharwad,Old Hubballi PS,Closed,15.349864,75.192159,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Hubballi-Dharwad District Court,2024-10-10 11:51:00,2024-10-10 14:16:00,2024-10-10 14:24:35
219,MLPM-0002/2024,"The complainant reported on 10/10/2024 that he and 16 others of Malpe invested in a multi-level marketing scheme which promised commissions for enrolling members. The scheme collapsed and the promoter stopped payments, cheating investors of about Rs. 6,256,000.",FIR,2024-10-13,Udupi,Malpe PS,Charge Sheeted,13.378632,74.743877,Non-Heinous,Economic Offences,Ponzi Scheme,Udupi District Court,2024-10-10 12:05:00,2024-10-10 14:07:00,2024-10-11 03:43:25
220,BDDB-0003/2024,The complainant reported that his brother was fatally attacked with machetes by known assailants near Bidadi around 2:45 PM on 10/10/2024 following a previous enmity over a land dealing in Kanakapura Road. He was declared dead at the district hospital. Special teams have been formed to trace the accused.,FIR,2024-10-12,Ramanagara,Bidadi PS,Charge Sheeted,12.705009,77.281485,Heinous,Crimes Against Body,Murder,Ramanagara District Court,2024-10-10 14:42:00,2024-10-10 16:33:00,2024-10-12 08:00:44
221,JYNG-0019/2024,"On 11/10/2024, the body of a male aged about 53 years was found near the temple street in Jayanagar with multiple stab injuries. Preliminary investigation suggests the deceased was done to death around 3:15 PM the previous night over a financial dispute. The scene was secured and forensic teams collected evidence.",FIR,2024-10-13,Bengaluru City,Jayanagar PS,Closed,12.918031,77.557206,Heinous,Crimes Against Body,Murder,Bengaluru City District Court,2024-10-11 15:22:00,2024-10-11 18:31:00,2024-10-12 11:57:33
222,PNSN-0002/2024,"On 11/10/2024, the complainant stated that the accused induced him to pay Rs. 500,000 towards booking a site at Salagame Road, showing forged layout approval documents. On verification with the authority the layout was found to be unapproved. The accused's office in Pension Mohalla is closed.",FIR,2024-10-13,Hassan,Pension Mohalla PS,Under Investigation,12.994403,76.129896,Non-Heinous,Economic Offences,Cheating,Hassan District Court,2024-10-11 20:24:00,2024-10-11 22:48:00,2024-10-13 19:41:26
223,PNMB-0004/2024,"The complainant reported theft of his red Splendor motorcycle from the paid parking lot near the Panambur railway station on 11/10/2024 around 11:45 PM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 94,000.",UDR,2024-10-13,Mangaluru,Panambur PS,Under Investigation,12.94255,74.858411,Non-Heinous,Property Crimes,Vehicle Theft,Mangaluru District Court,2024-10-11 23:30:00,2024-10-11 23:38:00,2024-10-13 18:53:32
224,GKLR-0005/2024,"On 11/10/2024 around 8:00 AM, two groups clashed near the vegetable market in Gokul Road over an old rivalry, pelting stones and damaging 4 vehicles and shop fronts. Police resorted to mild force to disperse the mob and additional forces were deployed in the area.",FIR,2024-10-12,Hubballi-Dharwad,Gokul Road PS,Closed,15.410571,75.146069,Non-Heinous,Public Order,Rioting,Hubballi-Dharwad District Court,2024-10-11 08:56:00,2024-10-11 10:04:00,2024-10-12 05:00:19
225,YSHW-0011/2024,"The complainant reported that while shopping at the Yeshwanthpur market on 11/10/2024 around 1:30 AM, an unknown person snatched her mobile phone worth Rs. 66,000 and disappeared into the crowd towards Indiranagar.",FIR,2024-10-12,Bengaluru City,Yeshwanthpur PS,Charge Sheeted,13.031916,77.548047,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2024-10-11 01:48:00,2024-10-11 03:50:00,2024-10-12 06:19:05
226,WHTF-0013/2024,"On 11/10/2024 around 8:15 AM, an elderly woman on her morning walk near the bus stop, Whitefield was targeted by a chain snatcher on a blue Activa scooter who fled towards the Cubbon Park ring road with her gold chain worth Rs. 73,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2024-10-12,Bengaluru City,Whitefield PS,Under Investigation,13.010084,77.62986,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2024-10-11 08:33:00,2024-10-11 12:14:00,2024-10-12 17:20:18
227,YSHW-0012/2024,"On 11/10/2024, a silver Swift car parked near the park entrance in Yeshwanthpur was stolen by unknown persons around 2:45 AM. CCTV footage shows two men tampering with the door lock before driving away towards Whitefield. The vehicle bears a Karnataka registration.",UDR,2024-10-12,Bengaluru City,Yeshwanthpur PS,Closed,13.020212,77.616103,Non-Heinous,Property Crimes,Vehicle Theft,Bengaluru City District Court,2024-10-11 02:08:00,2024-10-11 06:03:00,2024-10-12 07:49:15
228,JYNG-0020/2024,"Patrol staff noticed a black Apache motorcycle being ridden around 9:15 AM on 12/10/2024 in a zig-zag manner at high speed near Jayanagar, performing wheelies amid traffic. The rider, without a valid licence, was intercepted after a short chase near Whitefield.",FIR,2024-10-14,Bengaluru City,Jayanagar PS,Closed,13.017118,77.618419,Non-Heinous,Road Incidents,Rash Driving,Bengaluru City District Court,2024-10-12 09:28:00,2024-10-12 11:01:00,2024-10-14 00:36:13
229,KRMN-0015/2024,"On 12/10/2024 around 8:30 PM, the complainant's son was forcibly taken into a silver Swift car by three unknown persons near Koramangala. A ransom call demanding Rs. 1,571,000 was received the same evening from an unregistered number. Technical teams are tracing the call.",FIR,2024-10-14,Bengaluru City,Koramangala PS,Under Investigation,13.012385,77.605216,Heinous,Crimes Against Body,Kidnapping,Bengaluru City District Court,2024-10-12 20:20:00,2024-10-12 22:36:00,2024-10-14 13:42:56
230,OLDH-0007/2024,"On 12/10/2024 around 9:30 PM, an elderly woman on her morning walk near the metro station, Old Hubballi was targeted by a chain snatcher on a grey KTM motorcycle who fled towards the Gokul Road ring road with her gold chain worth Rs. 95,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2024-10-14,Hubballi-Dharwad,Old Hubballi PS,Closed,15.36543,75.161472,Non-Heinous,Property Crimes,Chain Snatching,Hubballi-Dharwad District Court,2024-10-12 21:07:00,2024-10-13 00:17:00,2024-10-13 17:24:39
231,CHWK-0001/2024,"On 13/10/2024 around 1:30 PM, a special team laid a trap near the metro station in Chowk and apprehended a peddler with 39 MDMA pills and 50 grams of hydro ganja meant for circulation at parties. Mobile phones recovered indicate contacts with an inter-state supplier.",FIR,2024-10-14,Kalaburagi,Chowk PS,Closed,17.329955,76.805699,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Kalaburagi District Court,2024-10-13 13:15:00,2024-10-13 15:37:00,2024-10-14 14:49:52
232,CBBN-0013/2024,"On 13/10/2024 around 9:30 PM, an unknown grey Bolero pickup moving at high speed knocked down a pedestrian crossing the road near the bus stop in Cubbon Park and sped away without stopping. The injured was shifted to hospital by passers-by and is critical. CCTV cameras along the stretch are being examined.",FIR,2024-10-15,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.983488,77.538205,Non-Heinous,Road Incidents,Hit and Run,Bengaluru City District Court,2024-10-13 21:23:00,2024-10-13 21:40:00,2024-10-15 15:11:52
233,WHTF-0014/2024,"The complainant reported on 13/10/2024 that he and 44 others of Whitefield invested in a multi-level marketing scheme which promised commissions for enrolling members. The scheme collapsed and the promoter stopped payments, cheating investors of about Rs. 11,503,000.",UDR,2024-10-14,Bengaluru City,Whitefield PS,Closed,12.99158,77.608654,Non-Heinous,Economic Offences,Ponzi Scheme,Bengaluru City District Court,2024-10-13 17:21:00,2024-10-13 18:36:00,2024-10-14 22:04:23
234,LSHK-0004/2024,"Between the night of 14/10/2024 and the following morning, burglars gained entry into a locked house at Lashkar by cutting the window grill and decamped with valuables worth Rs. 293,000. Fingerprints were lifted from the almirah and a dog squad was pressed into service.",FIR,2024-10-14,Mysuru,Lashkar PS,Under Investigation,12.32837,76.652848,Non-Heinous,Property Crimes,House Burglary,Mysuru District Court,2024-10-14 02:00:00,2024-10-14 02:42:00,2024-10-14 08:59:15
235,JYNG-0021/2024,"On the night of 14/10/2024, unknown persons broke the rear door lock of the complainant's residence in Jayanagar and committed theft of gold ornaments and cash totalling Rs. 766,000 while the family was away at their native place. Neighbours reported a white van parked near the gate around 4:00 AM.",FIR,2024-10-15,Bengaluru City,Jayanagar PS,Charge Sheeted,12.923759,77.551358,Non-Heinous,Property Crimes,House Burglary,Bengaluru City District Court,2024-10-14 04:15:00,2024-10-14 07:57:00,2024-10-15 02:56:24
236,WHTF-0015/2024,"On the night of 14/10/2024, unknown persons broke the rear door lock of the complainant's residence in Whitefield and committed theft of gold ornaments and cash totalling Rs. 521,000 while the family was away at their native place. Neighbours reported a silver Swift car parked near the gate around 4:45 AM.",FIR,2024-10-17,Bengaluru City,Whitefield PS,Charge Sheeted,12.920098,77.543528,Non-Heinous,Property Crimes,House Burglary,Bengaluru City District Court,2024-10-14 04:50:00,2024-10-14 05:02:00,2024-10-15 19:44:48
237,TRNG-0005/2024,"The complainant reported that while shopping at the Toranagallu market on 16/10/2024 around 8:30 AM, an unknown person snatched her mobile phone worth Rs. 61,000 and disappeared into the crowd towards Bruce Pete.",FIR,2024-10-18,Ballari,Toranagallu PS,Under Investigation,15.124432,76.901445,Non-Heinous,Property Crimes,Mobile Phone Theft,Ballari District Court,2024-10-16 08:28:00,2024-10-16 09:42:00,2024-10-18 06:08:38
238,KRMN-0016/2024,"Patrol staff noticed a red Splendor motorcycle being ridden around 5:30 AM on 16/10/2024 in a zig-zag manner at high speed near Koramangala, performing wheelies amid traffic. The rider, without a valid licence, was intercepted after a short chase near Jayanagar.",FIR,2024-10-16,Bengaluru City,Koramangala PS,Charge Sheeted,12.939012,77.57766,Non-Heinous,Road Incidents,Rash Driving,Bengaluru City District Court,2024-10-16 05:48:00,2024-10-16 06:02:00,2024-10-16 21:25:20
239,ULLL-0004/2024,"On 16/10/2024, the complainant found that a loan of Rs. 426,000 had been availed in his name using forged Aadhaar and PAN details. He resides in Ullal and has never applied for the said loan. The NBFC records show an unknown address in Barke.",FIR,2024-10-17,Mangaluru,Ullal PS,Charge Sheeted,12.945146,74.813549,Non-Heinous,Cyber Crimes,Identity Theft,Mangaluru District Court,2024-10-16 13:19:00,2024-10-16 15:01:00,2024-10-17 00:07:19
240,JYNG-0022/2024,"On 16/10/2024 around 4:00 AM, on credible information, the police intercepted a person near the main road junction in Jayanagar and on search found 4 kg of ganja concealed in a gunny bag intended for sale to local youth. The contraband was seized under a mahazar and the accused was arrested on the spot.",FIR,2024-10-17,Bengaluru City,Jayanagar PS,Closed,12.972797,77.54564,Non-Heinous,Narcotics,Ganja Possession,Bengaluru City District Court,2024-10-16 04:45:00,2024-10-16 08:14:00,2024-10-17 08:06:07
241,KRMN-0017/2024,"The complainant reported that while shopping at the Koramangala market on 17/10/2024 around 5:30 PM, an unknown person snatched her mobile phone worth Rs. 57,000 and disappeared into the crowd towards Jayanagar.",FIR,2024-10-18,Bengaluru City,Koramangala PS,Closed,12.94595,77.576805,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2024-10-17 17:25:00,2024-10-17 20:51:00,2024-10-18 15:45:53
242,SRTH-0003/2024,"The complainant reported that while shopping at the Surathkal market on 17/10/2024 around 10:00 AM, an unknown person snatched her mobile phone worth Rs. 59,000 and disappeared into the crowd towards Ullal.",FIR,2024-10-18,Mangaluru,Surathkal PS,Charge Sheeted,12.863948,74.792255,Non-Heinous,Property Crimes,Mobile Phone Theft,Mangaluru District Court,2024-10-17 10:46:00,2024-10-17 12:27:00,2024-10-18 06:20:39
243,MSKM-0003/2024,"On 18/10/2024, the complainant, employed at a private firm in MSK Mill, reported persistent harassment by a co-worker who follows her around 6:15 PM and makes unwelcome advances despite repeated warnings from the management.",FIR,2024-10-22,Kalaburagi,MSK Mill PS,Closed,17.28302,76.904608,Non-Heinous,Crimes Against Women,Harassment,Kalaburagi District Court,2024-10-18 18:36:00,2024-10-18 19:18:00,2024-10-20 01:07:44
244,BRHM-0006/2024,"On 18/10/2024 around 11:15 PM, following a dispute over parking near the main road junction in Brahmpur, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2024-10-19,Kalaburagi,Brahmpur PS,Closed,17.326497,76.814814,Non-Heinous,Crimes Against Body,Assault,Kalaburagi District Court,2024-10-18 23:08:00,2024-10-18 23:41:00,2024-10-19 11:26:34
245,DDDP-0005/2024,"The complainant reported that when the family returned to their house in Doddapete on 18/10/2024, the main door latch was found broken and gold jewellery, a laptop and cash amounting to Rs. 105,000 were missing. Entry appears to have been made around 3:30 AM through the terrace door.",FIR,2024-10-19,Shivamogga,Doddapete PS,Charge Sheeted,13.955307,75.586572,Non-Heinous,Property Crimes,House Burglary,Shivamogga District Court,2024-10-18 03:45:00,2024-10-18 05:31:00,2024-10-18 09:23:22
246,WHTF-0016/2024,"On 18/10/2024 around 6:15 AM, an elderly woman on her morning walk near the temple street, Whitefield was targeted by a chain snatcher on a red Splendor motorcycle who fled towards the Yeshwanthpur ring road with her gold chain worth Rs. 126,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2024-10-20,Bengaluru City,Whitefield PS,Under Investigation,13.001323,77.627705,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2024-10-18 06:48:00,2024-10-18 09:19:00,2024-10-19 05:55:54
247,TRNG-0006/2024,"On 19/10/2024 around 7:45 PM, the complainant was walking near the temple street in Toranagallu when two unidentified men on a black Pulsar motorcycle approached from behind and snatched her gold chain of 51 grams worth Rs. 198,000. The riders sped away towards Bruce Pete before anyone could note the registration number.",FIR,2024-10-21,Ballari,Toranagallu PS,Under Investigation,15.11926,76.905824,Non-Heinous,Property Crimes,Chain Snatching,Ballari District Court,2024-10-19 19:33:00,2024-10-19 22:03:00,2024-10-21 01:34:08
248,GKLR-0006/2024,"Between the night of 20/10/2024 and the following morning, burglars gained entry into a locked house at Gokul Road by cutting the window grill and decamped with valuables worth Rs. 473,000. Fingerprints were lifted from the almirah and a dog squad was pressed into service.",FIR,2024-10-23,Hubballi-Dharwad,Gokul Road PS,Charge Sheeted,15.421279,75.129614,Non-Heinous,Property Crimes,House Burglary,Hubballi-Dharwad District Court,2024-10-20 00:49:00,2024-10-20 02:44:00,2024-10-21 16:50:34
249,KRMN-0018/2024,"On 20/10/2024 around 11:15 AM, a special team laid a trap near the park entrance in Koramangala and apprehended a peddler with 74 MDMA pills and 60 grams of hydro ganja meant for circulation at parties. Mobile phones recovered indicate contacts with an inter-state supplier.",FIR,2024-10-21,Bengaluru City,Koramangala PS,Closed,12.944646,77.552686,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Bengaluru City District Court,2024-10-20 11:12:00,2024-10-20 12:56:00,2024-10-21 15:32:13
250,CBBN-0014/2024,"On 20/10/2024 around 3:45 PM, the complainant was walking near the park entrance in Cubbon Park when two unidentified men on a grey KTM motorcycle approached from behind and snatched her gold chain of 25 grams worth Rs. 79,000. The riders sped away towards Koramangala before anyone could note the registration number.",FIR,2024-10-22,Bengaluru City,Cubbon Park PS,Charge Sheeted,13.021179,77.615362,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2024-10-20 15:09:00,2024-10-20 17:11:00,2024-10-21 23:58:08
251,LSHK-0005/2024,"On 21/10/2024 around 2:45 PM, the complainant's mobile phone worth Rs. 56,000 was stolen from his pocket while boarding a crowded bus near the metro station in Lashkar. The IMEI number has been noted for tracking.",FIR,2024-10-21,Mysuru,Lashkar PS,Charge Sheeted,12.301136,76.627276,Non-Heinous,Property Crimes,Mobile Phone Theft,Mysuru District Court,2024-10-21 14:21:00,2024-10-21 17:14:00,2024-10-21 16:26:53
252,HSSN-0005/2024,"On 21/10/2024, a white Innova car parked near the bus stop in Hassan Town was stolen by unknown persons around 12:15 AM. CCTV footage shows two men tampering with the door lock before driving away towards Pension Mohalla. The vehicle bears a Karnataka registration.",FIR,2024-10-23,Hassan,Hassan Town PS,Charge Sheeted,13.045946,76.086522,Non-Heinous,Property Crimes,Vehicle Theft,Hassan District Court,2024-10-21 00:10:00,2024-10-21 03:07:00,2024-10-22 08:11:51
253,KMPL-0002/2024,"The complainant reported theft of his blue Activa scooter from the paid parking lot near the Kampli Road railway station on 21/10/2024 around 1:00 PM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 96,000.",FIR,2024-10-21,Ballari,Kampli Road PS,Charge Sheeted,15.126915,76.91545,Non-Heinous,Property Crimes,Vehicle Theft,Ballari District Court,2024-10-21 13:43:00,2024-10-21 16:47:00,2024-10-21 18:03:47
254,TLKN-0007/2024,"The complainant reported that on 21/10/2024 around 2:45 AM his father, a morning walker, was hit by an unidentified grey KTM motorcycle near Tilak Nagar which fled the scene. He succumbed to head injuries at the hospital. Vehicle fragments found at the spot have been sent for examination.",FIR,2024-10-21,Shivamogga,Tilak Nagar PS,Charge Sheeted,13.911574,75.547768,Non-Heinous,Road Incidents,Hit and Run,Shivamogga District Court,2024-10-21 02:03:00,2024-10-21 03:15:00,2024-10-21 13:40:34
255,NTTV-0007/2024,"Between the night of 21/10/2024 and the following morning, burglars gained entry into a locked house at Nittuvalli by cutting the window grill and decamped with valuables worth Rs. 514,000. Fingerprints were lifted from the almirah and a dog squad was pressed into service.",FIR,2024-10-22,Davanagere,Nittuvalli PS,Under Investigation,14.461181,75.96079,Non-Heinous,Property Crimes,House Burglary,Davanagere District Court,2024-10-21 02:07:00,2024-10-21 03:36:00,2024-10-22 15:42:32
256,HSSN-0006/2024,"On 21/10/2024 around 10:30 PM, the complainant, a resident of Hassan Town, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 169,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2024-10-25,Hassan,Hassan Town PS,Under Investigation,13.03807,76.088407,Non-Heinous,Cyber Crimes,OTP Fraud,Hassan District Court,2024-10-21 22:05:00,2024-10-22 01:02:00,2024-10-23 20:20:05
257,KDRK-0005/2024,"The complainant of Kadri reported that the accused has been following her daily from her office to her residence since the past month, waiting near the metro station around 3:45 PM and repeatedly calling from different numbers. On 22/10/2024 he threatened her when she confronted him.",FIR,2024-10-24,Mangaluru,Kadri PS,Charge Sheeted,12.898857,74.828752,Non-Heinous,Crimes Against Women,Stalking,Mangaluru District Court,2024-10-22 15:16:00,2024-10-22 18:10:00,2024-10-23 14:33:55
258,KVMP-0006/2024,"The complainant reported that on 22/10/2024 around 2:30 PM his neighbour in Kuvempunagar, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2024-10-24,Mysuru,Kuvempunagar PS,Under Investigation,12.263372,76.661617,Non-Heinous,Crimes Against Body,Assault,Mysuru District Court,2024-10-22 14:15:00,2024-10-22 16:03:00,2024-10-24 01:01:55
259,CBBN-0015/2024,"On 22/10/2024 around 12:00 PM, the complainant's mobile phone worth Rs. 72,000 was stolen from his pocket while boarding a crowded bus near the park entrance in Cubbon Park. The IMEI number has been noted for tracking.",FIR,2024-10-23,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.966601,77.575286,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2024-10-22 12:25:00,2024-10-22 14:01:00,2024-10-23 00:18:14
260,JYNG-0023/2024,"Acting on a tip-off, a raid was conducted on 22/10/2024 around 6:30 PM at a rented room in Jayanagar where 6 kg of ganja packed in small pouches was recovered along with cash of Rs. 74,000. The accused was peddling near the Whitefield college campus.",FIR,2024-10-24,Bengaluru City,Jayanagar PS,Closed,12.968419,77.55965,Non-Heinous,Narcotics,Ganja Possession,Bengaluru City District Court,2024-10-22 18:26:00,2024-10-22 19:12:00,2024-10-24 02:43:39
261,WHTF-0017/2024,"The complainant reported that on 22/10/2024 around 10:30 AM his neighbour in Whitefield, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2024-10-23,Bengaluru City,Whitefield PS,Charge Sheeted,12.997226,77.625648,Non-Heinous,Crimes Against Body,Assault,Bengaluru City District Court,2024-10-22 10:45:00,2024-10-22 11:30:00,2024-10-23 17:03:33
262,ADRS-0005/2024,"On 23/10/2024 around 1:30 PM, following a dispute over parking near the metro station in Adarsh Nagar, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2024-10-24,Vijayapura,Adarsh Nagar PS,Closed,16.832753,75.742633,Non-Heinous,Crimes Against Body,Assault,Vijayapura District Court,2024-10-23 13:38:00,2024-10-23 15:28:00,2024-10-24 21:39:20
263,JYNG-0024/2024,"On 24/10/2024 around 10:30 AM, the complainant, a resident of Jayanagar, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 371,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2024-10-26,Bengaluru City,Jayanagar PS,Under Investigation,12.964108,77.530183,Non-Heinous,Cyber Crimes,OTP Fraud,Bengaluru City District Court,2024-10-24 10:52:00,2024-10-24 13:58:00,2024-10-25 04:53:54
264,SLGM-0005/2024,"The complainant reported that while shopping at the Salagame Road market on 24/10/2024 around 5:15 PM, an unknown person snatched her mobile phone worth Rs. 27,000 and disappeared into the crowd towards Pension Mohalla.",FIR,2024-10-25,Hassan,Salagame Road PS,Charge Sheeted,12.977004,76.08304,Non-Heinous,Property Crimes,Mobile Phone Theft,Hassan District Court,2024-10-24 17:27:00,2024-10-24 20:24:00,2024-10-25 02:43:02
265,KMPL-0003/2024,"The complainant, married for 7 years and residing at Kampli Road, reported that her husband and in-laws subjected her to physical and mental cruelty demanding additional dowry of Rs. 261,000. On 25/10/2024 around 6:00 PM she was assaulted and driven out of the matrimonial home.",FIR,2024-10-26,Ballari,Kampli Road PS,Closed,15.110259,76.915656,Non-Heinous,Crimes Against Women,Domestic Cruelty,Ballari District Court,2024-10-25 18:04:00,2024-10-25 21:57:00,2024-10-26 17:49:35
266,VDYN-0005/2024,"On 26/10/2024, the complainant stated that the accused induced him to pay Rs. 1,083,000 towards booking a site at Dharwad Town, showing forged layout approval documents. On verification with the authority the layout was found to be unapproved. The accused's office in Vidyanagar is closed.",FIR,2024-10-28,Hubballi-Dharwad,Vidyanagar PS,Charge Sheeted,15.405026,75.119553,Non-Heinous,Economic Offences,Cheating,Hubballi-Dharwad District Court,2024-10-26 21:12:00,2024-10-27 00:26:00,2024-10-28 14:28:27
